UNK	0.020468257 0.34468344 0.24124268 -0.47257534 -0.31575668 -0.496635 0.13998078 0.09664007 -0.26107448 -0.28961843 -0.08901265 -0.25299102
the	-0.2799228 -0.083863944 -0.3822238 -0.57600504 -0.18729039 -0.28865314 -0.060932405 -0.38631177 -0.37489673 0.13300392 -0.074018545 0.040853284
of	0.28142115 -0.13654076 0.39344165 -0.673431 0.30072582 -0.009329314 0.03815711 -0.33800247 0.21624643 0.028615566 0.18022066 -0.08699276
and	0.27197084 -0.026387056 0.10945979 -0.4197585 0.21124868 -0.158071 0.2515148 -0.14751486 -0.5408087 0.24605317 0.36823288 -0.30645147
one	0.07357965 -0.3469581 -0.060682252 -0.5730639 -0.09824195 -0.15768978 0.06301052 0.3997588 -0.29083145 0.15567589 0.19074531 0.44567358
in	0.49345273 -0.337012 0.4864941 -0.30828986 -0.04991221 0.039109588 0.2000112 -0.33236548 -0.093225025 0.19858585 0.2493386 -0.21545114
a	-0.24892433 -0.11486265 -0.075159796 -0.57788736 -0.4558221 -0.092625864 -0.15666865 -0.055901922 -0.30025437 0.44190753 -0.037868418 -0.23312706
to	0.11949769 -0.1936098 0.47741562 -0.15901527 -0.16993447 0.06222785 0.056792703 -0.23526669 -0.2420162 0.2151727 0.5779268 -0.40598962
zero	-0.012459948 -0.16631962 0.41137895 -0.28747362 0.06982789 -0.4627993 -0.20023824 -0.13751754 -0.28089613 0.019650511 0.33715707 0.4992792
nine	0.2927019 -0.5009292 0.3159928 -0.40776846 -0.20101903 -0.18988727 -0.043765727 -0.08081571 -0.44028318 -0.016471768 -0.03380016 0.34218922
two	-0.14399295 -0.307941 0.22033352 -0.44418943 0.06952279 -0.3218643 0.054922715 0.28420395 -0.39880297 -0.04236047 0.3405865 0.41174203
is	0.27349287 -0.5140819 0.035913743 -0.27767223 -0.054571863 -0.21195412 -0.03578562 -0.1988962 -0.0955969 -0.5661207 0.022370571 -0.40454313
as	0.112700984 -0.07151831 0.011383122 -0.6368203 0.036072843 0.26728153 0.10129912 0.36399186 -0.3427073 -0.40254578 0.18243647 -0.21965234
eight	0.24505726 -0.5234699 0.2904077 -0.30447856 -0.117185704 -0.28592387 -0.09842098 0.013688283 -0.4528607 0.06544663 0.064217016 0.4123512
for	0.12332807 -0.24104945 0.48891735 -0.46163002 0.033097073 0.17792857 0.10783502 -0.28694886 -0.13966647 -0.19532003 0.43747392 -0.3142942
s	-0.27254552 -0.4137386 -0.16975571 -0.37817875 0.3291786 -0.26030606 0.07524079 -0.28492895 -0.16134004 -0.1416198 0.49683833 -0.16372108
five	0.061012514 -0.428844 0.3026337 -0.3350788 0.022009678 -0.31880817 -0.10485942 0.18159062 -0.42614317 -0.16240431 0.15133703 0.48118132
three	0.0057473737 -0.34819704 0.38600475 -0.31789413 -0.063685134 -0.33366963 -0.0006603317 0.22254537 -0.5091019 0.038370747 0.14608635 0.426325
